N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
9, 512, 0, 10, 81.1, 84.01, 76.59, 80.82
9, 1024, 0, 0, 87.43, 88.88, 83.85, 86
9, 1024, 0, 1, 87.96, 89.42, 83.63, 85.57
9, 1024, 0, 2, 88.07, 89.37, 83.63, 85.69
9, 1024, 0, 3, 86.94, 88.22, 82.75, 85.11
9, 1024, 0, 4, 86.94, 88.25, 80.77, 82.23
9, 1024, 0, 5, 84.35, 86.13, 78.02, 80.97
9, 1024, 0, 6, 81.79, 83.42, 76.37, 79.85
9, 1024, 0, 7, 82.83, 83.84, 76.04, 77.2
9, 1024, 0, 8, 83.85, 83.89, 78.35, 79.71
9, 1024, 0, 9, 83.03, 84.72, 75.16, 76.79
9, 1024, 0, 10, 84.27, 86.04, 76.92, 79.61
9, 2048, 0, 0, 90.52, 91.63, 84.95, 86.66
9, 2048, 0, 1, 91.32, 92.18, 85.05, 86.59
9, 2048, 0, 2, 92.04, 92.74, 84.95, 86.66
9, 2048, 0, 3, 91.04, 91.96, 84.51, 86.58
9, 2048, 0, 4, 90.71, 91.6, 83.96, 85.88
9, 2048, 0, 5, 90.44, 91.34, 82.64, 84.35
9, 2048, 0, 6, 87.88, 89.07, 80.44, 81.29
9, 2048, 0, 7, 88.81, 89.54, 80.44, 82.59
9, 2048, 0, 8, 87.96, 87.34, 80.44, 79.85
9, 2048, 0, 9, 85.06, 85.71, 75.05, 76.73
9, 2048, 0, 10, 85.81, 84.48, 77.8, 77.36
10, 512, 0, 0, 84.21, 86.47, 80.77, 83.41
10, 512, 0, 1, 86, 87.58, 82.53, 84.27
10, 512, 0, 2, 84.82, 86.6, 81.65, 84.44
10, 512, 0, 3, 82.97, 84.18, 78.35, 80.18
10, 512, 0, 4, 79.33, 80.92, 77.36, 79.43
10, 512, 0, 5, 79.14, 81.32, 74.4, 78.1
10, 512, 0, 6, 78.31, 80.99, 73.85, 77.14
10, 512, 0, 7, 81.4, 82.44, 78.13, 79.85
10, 512, 0, 8, 78.64, 83.48, 75.27, 80.75
10, 512, 0, 9, 81.32, 83.18, 77.69, 80.43
10, 512, 0, 10, 84.29, 85.17, 80.22, 82.71
10, 1024, 0, 0, 87.82, 89.2, 84.29, 85.86
10, 1024, 0, 1, 88.29, 89.67, 83.96, 85.88
10, 1024, 0, 2, 89.06, 90.23, 83.52, 85.16
10, 1024, 0, 3, 86.75, 88.13, 81.21, 83.75
10, 1024, 0, 4, 83.8, 84.53, 78.68, 80.44
10, 1024, 0, 5, 82.81, 83.95, 77.8, 80.45
10, 1024, 0, 6, 80.9, 83.6, 75.6, 78.92
10, 1024, 0, 7, 82.78, 84.48, 75.38, 78.67
10, 1024, 0, 8, 82.67, 84.51, 75.27, 78.33
10, 1024, 0, 9, 82.97, 85.07, 76.37, 79.09
10, 1024, 0, 10, 84.16, 86.47, 77.91, 82.18
10, 2048, 0, 0, 90.91, 91.85, 85.82, 87.23
10, 2048, 0, 1, 91.51, 92.29, 85.71, 87.06
10, 2048, 0, 2, 92.26, 92.8, 84.95, 86.42
10, 2048, 0, 3, 92.06, 92.8, 85.16, 86.93
10, 2048, 0, 4, 91.9, 92.57, 84.29, 85.94
10, 2048, 0, 5, 90.69, 91.61, 83.96, 85.37
10, 2048, 0, 6, 90.11, 90.31, 82.42, 83.52
10, 2048, 0, 7, 88.54, 88.1, 79.34, 79.29
10, 2048, 0, 8, 86.61, 87.42, 77.8, 80.05
10, 2048, 0, 9, 85.92, 87.03, 77.25, 78.91
10, 2048, 0, 10, 86.83, 87.36, 75.49, 77.3
1, 4096, 0, 0, 90.05, 91.32, 85.38, 87.04
1, 4096, 0, 1, 90.05, 91.32, 85.38, 87.04
1, 4096, 0, 2, 90.05, 91.32, 85.38, 87.04
1, 4096, 0, 3, 90.05, 91.32, 85.38, 87.04
1, 4096, 0, 4, 90.05, 91.32, 85.38, 87.04
